number,name,region,lat,lon,elev,type,status,lasterp
1502-002,Cuicocha,Ecuador,0.308,-78.364,3246,Caldera,Radiocarbon,D7
1402-121,Cuilapa-Barbarena,Guatemala,14.33,-90.4,1454,Volcanic field,Holocene,U
1501-10=,Cumbal,Colombia,0.98,-77.88,4764,Stratovolcano,Historical,D2
1401-098,"Cumbres, Las",Mexico,19.15,-97.27,3940,Stratovolcano,Radiocarbon,D7
0403-101,Curacoa,Tonga-SW Pacific,-15.62,-173.67,-33,Submarine volcano,Historical,D1
0402-01=,Curtis Island,Kermadec Is,-30.542,-178.561,137,Submarine volcano,Uncertain,Unknown
0201-113,Dabbahu,Ethiopia,12.6,40.48,1442,Stratovolcano,Holocene,U
0201-114,Dabbayra,Ethiopia,12.38,40.07,1302,Shield volcano,Holocene,U
0302-06-,Dacht-I-Navar Group,Afghanistan,33.95,67.92,3800,Lava dome,Holocene,U
0805-06=,Daisetsu,Hokkaido-Japan,43.68,142.88,2290,Stratovolcano,Tephrochronology,D6
0502-04=,Dakataua,New Britain-SW Pac,-5.056,150.108,400,Caldera,Anthropology,D3
0201-07=,Dalaffilla,Ethiopia,13.792,40.55,613,Stratovolcano,Holocene,U
0201-041,Dallol,Ethiopia,14.242,40.3,-48,Explosion crater,Historical,D2
0201-141,Dama Ali,Ethiopia,11.28,41.63,1068,Shield volcano,Historical,D5
0302-01-,Damavand,Iran,35.951,52.109,5670,Stratovolcano,Holocene,U
1102-05-,Dana,Alaska Peninsula,55.62,-161.22,1354,Stratovolcano,Radiocarbon,D7
0603-01=,Danau Complex,Java,-6.2,105.97,1778,Caldera,Holocene,U
0104-08-,Dar-Alages,Armenia,39.7,45.542,3329,Unknown,Holocene,U
1003-04-,Dariganga Volc Field,Mongolia,45.33,114,1778,Cinder cone,Holocene,U
1503-03=,"Darwin, Volcan",Galapagos,-0.18,-91.28,1330,Shield volcano,Holocene,D3
0601-21=,"Daun, Bukit",Sumatra,-3.38,102.37,2467,Stratovolcano,Fumarolic,U
1101-04-,Davidof,Aleutian Is,51.97,178.33,328,Stratovolcano,Holocene,Unknown
1202-10-,Davis Lake,US-Oregon,43.57,-121.82,2163,Volcanic field,Radiocarbon,D7
0503-06=,Dawson Strait Group,DEntrecasteaux Is,-9.62,150.88,500,Volcanic field,Hydration Rind,D6
1900-03=,Deception Island,Antarctica,-62.97,-60.65,576,Caldera,Historical,D1
0900-11-,Demon,Kuril Is,45.5,148.85,1205,Stratovolcano,Holocene,U
0601-23=,Dempo,Sumatra,-4.03,103.13,3173,Stratovolcano,Historical,D1
1102-21-,Denison,Alaska Peninsula,58.42,-154.45,2318,Stratovolcano,Uncertain,Unknown
1507-05=,Descabezado Grande,Chile-C,-35.58,-70.75,3953,Stratovolcano,Historical,D2
1102-24-,Devils Desk,Alaska Peninsula,58.48,-154.3,1954,Stratovolcano,Uncertain,Unknown
1202-12-,Devils Garden,US-Oregon,43.512,-120.861,1698,Volcanic field,Holocene,Unknown
1002-04-,Dgida Basin,Russia-SE,50.52,103.25,1500,Cinder cone,Holocene,U
0301-12-,"Dhamar, Harras of",Arabia-S,14.57,44.67,3500,Volcanic field,Historical,D2
1600-08=,"Diable, Morne Au",W Indies,15.62,-61.45,861,Stratovolcano,Fumarolic,U
1600-09=,"Diablotins, Morne",W Indies,15.5,-61.42,1430,Stratovolcano,Holocene,U
1202-17-,Diamond Craters,US-Oregon,43.1,-118.75,1435,Volcanic field,Holocene,Unknown
0704-02=,Didicas,Luzon-N of,19.077,122.202,244,Compound volcano,Historical,D1
0603-20=,Dieng Volc Complex,Java,-7.2,109.92,2565,Complex volcano,Historical,D1
1000-022,Diky Greben,Kamchatka,51.43,157,1070,Lava dome,Radiocarbon,D6
0201-18=,Dofen,Ethiopia,9.35,40.13,1151,Stratovolcano,Holocene,U
0503-00-,Doma Peaks,New Guinea,-5.9,143.15,3568,Stratovolcano,Holocene,Unknown
1507-067,Domuyo,Argentina,-36.63,-70.42,4709,Stratovolcano,Holocene,Unknown
1802-07=,Don Joao de Castro Bank,Azores,38.23,-26.63,-14,Submarine volcano,Historical,D4
1501-07=,Dona Juana,Colombia,1.47,-76.92,4150,Stratovolcano,Historical,D2
1208-01-,Dotsero,US-Colorado,39.65,-107.03,2230,Maar,Radiocarbon,D7
1102-27-,Douglas,Alaska Peninsula,58.87,-153.55,2140,Stratovolcano,Fumarolic,U
0201-10=,Dubbi,Ethiopia,13.58,41.808,1625,Stratovolcano,Historical,D3
0608-01=,Dukono,Halmahera-Indonesia,1.68,127.88,1185,Complex volcano,Historical,D1
1105-05-,Duncan Canal,Alaska-SE,56.5,-133.1,15,Unknown,Holocene,U
1401-022,Durango Volc Field,Mexico,24.15,-104.45,2075,Cinder cone,Holocene,U
1102-011,Dutton,Alaska Peninsula,55.18,-162.27,1506,Stratovolcano,Holocene,U
1000-11=,Dzenzursky,Kamchatka,53.637,158.922,2155,Compound volcano,Holocene,U
0805-011,E-san,Hokkaido-Japan,41.8,141.17,618,Stratovolcano,Historical,D3
1203-09-,Eagle Lake Field,US-California,40.63,-120.83,1652,Fissure vent,Holocene,Unknown
1303-07-,Easter Island,Pacific-C,-27.12,-109.45,530,Shield volcano,Holocene,U
0508-001,Eastern Gemini Seamount,SW Pacific,-20.98,170.28,-80,Submarine volcano,Historical,D1
0900-38=,Ebeko,Kuril Is,50.68,156.02,1156,Somma volcano,Historical,D1
0604-10=,Ebulobo,Lesser Sunda Is,-8.808,121.18,2124,Stratovolcano,Historical,D1
0202-08=,"Eburru, Ol Doinyo",Africa-E,-0.63,36.23,2856,Complex volcano,Holocene,U
1503-011,"Ecuador, Volcan",Galapagos,-0.02,-91.546,790,Shield volcano,Holocene,U
1105-04-,Edgecumbe,Alaska-SE,57.05,-135.75,976,Stratovolcano,Radiocarbon,D7
1200-06-,Edziza,Canada,57.72,-130.63,2786,Stratovolcano,Radiocarbon,D6
1000-42-,Eggella,Kamchatka,56.57,158.52,1046,Shield volcano,Holocene,U
0401-03=,Egmont,New Zealand,-39.3,174.07,2518,Stratovolcano,Radiocarbon,D4
0604-16=,Egon,Lesser Sunda Is,-8.67,122.45,1703,Stratovolcano,Historical,D2
0900-27=,Ekarma,Kuril Is,48.958,153.93,1170,Stratovolcano,Historical,D1
0104-01-,Elbrus,Russia-SW,43.33,42.45,5633,Stratovolcano,Tephrochronology,D6
0202-071,Elmenteita Badlands,Africa-E,-0.52,36.27,2126,Pyroclastic cone,Holocene,U
1000-59-,Elovsky,Kamchatka,57.53,160.53,1381,Shield volcano,Holocene,U
1102-02-,Emmons Lake,Alaska Peninsula,55.33,-162.07,1465,Caldera,Holocene,U
0605-01=,Emperor of China,Banda Sea,-6.62,124.22,-2850,Submarine volcano,Uncertain,Unknown
0202-051,Emuruangogolak,Africa-E,1.5,36.33,1328,Shield volcano,Radiocarbon,D2
0507-06=,Epi,Vanuatu-SW Pacific,-16.68,168.37,833,Stratovolcano,Historical,D1
0103-01=,Erciyes Dagi,Turkey,38.52,35.48,3916,Stratovolcano,Holocene,U
1900-02=,Erebus,Antarctica,-77.53,167.17,3794,Stratovolcano,Historical,D1
0201-08=,Erta Ale,Ethiopia,13.6,40.67,613,Shield volcano,Historical,D1
0300-05-,Es Safa,Syria,33.08,37.15,979,Volcanic field,Historical,D3
1505-062,Escala,Bolivia,-21.6,-66.88,4000,Lava dome,Holocene,U
1505-112,"Escorial, Cerro",Chile-N,-25.08,-68.37,5447,Stratovolcano,Holocene,U
1704-02=,Esjufjoll,Iceland-SE,64.27,-16.65,1760,Stratovolcano,Historical,D2
0804-21=,Esmeralda Bank,Mariana Is-C Pacific,15,145.25,-43,Submarine volcano,Fumarolic,U
1104-01-,Espenberg,Alaska-W,66.35,-164.33,243,Volcanic field,Tephrochronology,D7
0304-03-,"Est, Ile de l",Indian O-S,-46.43,52.2,1090,Stratovolcano,Holocene,Unknown
1404-131,Esteli,Nicaragua,13.17,-86.4,899,Fissure vent,Holocene,Unknown
0101-06=,Etna,Italy,37.734,15.004,3350,Stratovolcano,Historical,D1
1702-02=,Eyjafjoll,Iceland-S,63.63,-19.62,1666,Stratovolcano,Historical,D3
0403-05=,Falcon Island,Tonga-SW Pacific,-20.32,-175.42,-17,Submarine volcano,Historical,D2
1505-129,Falso Azufre,Chile-N,-26.8,-68.37,5890,Complex volcano,Holocene,U
0804-14=,Farallon de Pajaros,Mariana Is-C Pacific,20.53,144.9,360,Stratovolcano,Historical,D1
1802-01=,Fayal,Azores,38.6,-28.73,1043,Stratovolcano,Historical,D2
1000-51-,Fedotych,Kamchatka,57.13,160.4,965,Shield volcano,Holocene,U
0201-19=,Fentale,Ethiopia,8.975,39.93,2007,Stratovolcano,Historical,D3
1503-01=,Fernandina,Galapagos,-0.37,-91.55,1495,Shield volcano,Historical,D1
1504-00-,"Firura, Nevados",Peru,-15.23,-72.63,5498,Stratovolcano,Holocene,U
1101-35-,Fisher,Aleutian Is,54.67,-164.35,1094,Stratovolcano,Historical,D3
1503-10=,Floreana,Galapagos,-1.3,-90.45,640,Shield volcano,Holocene,U
1802-001,Flores,Azores,39.4,-31.17,915,Stratovolcano,Radiocarbon,D7
1402-14-,Flores,Guatemala,14.3,-90,1600,Volcanic field,Holocene,U
1804-01=,Fogo,Cape Verde Is,14.95,-24.35,2829,Stratovolcano,Historical,D1
0403-10=,Fonualei,Tonga-SW Pacific,-18.02,-174.325,200,Stratovolcano,Historical,D2
0203-001,Fort Portal Field,Africa-C,0.7,30.25,1524,Tuff cone,Holocene,U
1200-01-,Fort Selkirk,Canada,62.93,-137.38,1239,Volcanic field,Holocene,U
1202-14-,Four Craters Lava Field,US-Oregon,43.361,-120.669,1501,Volcanic field,Holocene,Unknown
0303-02=,"Fournaise, Piton de la",Indian O-W,-21.229,55.713,2631,Shield volcano,Historical,D1
1102-26-,Fourpeaked,Alaska Peninsula,58.77,-153.68,2104,Stratovolcano,Uncertain,Unknown
1703-07=,Fremrinamur,Iceland-NE,65.43,-16.65,939,Stratovolcano,Tephrochronology,D7
1102-01-,Frosty,Alaska Peninsula,55.07,-162.82,1920,Stratovolcano,Holocene,U
1402-09=,Fuego,Guatemala,14.473,-90.88,3763,Stratovolcano,Historical,D1
1803-05-,Fuerteventura,Canary Is,28.358,-14.02,529,Fissure vent,Holocene,U
0803-03=,Fuji,Honshu-Japan,35.35,138.73,3776,Stratovolcano,Historical,D4
0804-133,Fukujin,Volcano Is-Japan,21.925,143.442,-217,Submarine volcano,Historical,D1
0804-13=,Fukutoku-okanoba,Volcano Is-Japan,24.28,141.52,-14,Submarine volcano,Historical,D1
1802-10=,Furnas,Azores,37.77,-25.32,805,Stratovolcano,Historical,D5
0900-34=,Fuss Peak,Kuril Is,50.27,155.25,1772,Stratovolcano,Historical,D3
0201-15=,Gabillema,Ethiopia,11.08,41.27,1459,Stratovolcano,Holocene,U
0201-05=,Gada Ale,Ethiopia,13.975,40.408,287,Stratovolcano,Holocene,U
1303-02-,Galapagos Rift,Pacific-E,0.792,-86.15,-2430,Submarine volcano,Historical,D1
1501-08=,Galeras,Colombia,1.22,-77.37,4276,Complex volcano,Historical,D1
0505-062,Gallego,Solomon Is-SW Pacifi,-9.35,159.73,1000,Volcanic field,Holocene,Unknown
0603-14=,Galunggung,Java,-7.25,108.05,2168,Stratovolcano,Historical,D1
0608-06=,Gamalama,Halmahera-Indonesia,0.8,127.325,1715,Stratovolcano,Historical,D1
1000-21=,Gamchen,Kamchatka,54.973,160.702,2576,Complex volcano,Holocene,U
0608-04=,Gamkonora,Halmahera-Indonesia,1.375,127.52,1635,Stratovolcano,Historical,D1
0201-13=,Garbes,Djibouti,11.42,42.2,1000,Fumarole field,Pleistocene-Fumarol,Q
0502-07=,Garbuna Group,New Britain-SW Pac,-5.45,150.03,564,Stratovolcano,Holocene,U
1101-07-,Gareloi,Aleutian Is,51.78,-178.8,1573,Stratovolcano,Historical,D1
1200-19-,Garibaldi Lake,Canada,49.92,-123.03,2316,Volcanic field,Holocene,U
1200-20-,"Garibaldi, Mt.",Canada,49.85,-123,2678,Stratovolcano,Radiocarbon,D7
0502-03=,Garove,New Britain-SW Pac,-4.692,149.5,368,Stratovolcano,Holocene,U
0502-06=,Garua Harbour,New Britain-SW Pac,-5.269,150.088,565,Volcanic field,Holocene,Unknown
0507-02=,Gaua,Vanuatu-SW Pacific,-14.27,167.5,797,Stratovolcano,Historical,D1
0201-23-,Gedamsa Caldera,Ethiopia,8.35,39.18,1984,Caldera,Holocene,U
0603-06=,Gede,Java,-6.78,106.98,2958,Stratovolcano,Historical,D2
1503-081,Genovesa,Galapagos,0.32,-89.958,64,Shield volcano,Holocene,U
1000-38-,Geodesistoy,Kamchatka,56.33,158.67,1170,Shield volcano,Holocene,U
0601-04=,Geureudong,Sumatra,4.813,96.82,2885,Stratovolcano,Historical,D2
0103-022,Girekol,Turkey,39.17,43.33,0,Unknown,Holocene,U
1201-02-,Glacier Peak,US-Washington,48.112,-121.113,3213,Stratovolcano,Tephrochronology,D4
1401-097,"Gloria, La",Mexico,19.33,-97.25,3500,Volcanic field,Holocene,U
1000-061,Golaya,Kamchatka,52.263,157.787,858,Stratovolcano,Holocene,U
1203-17-,Golden Trout Creek,US-California,36.358,-118.32,2886,Volcanic field,Tephrochronology,D7
0900-091,Golets-Tornyi Group,Kuril Is,45.25,148.35,442,Pyroclastic cone,Holocene,Unknown
0103-003,Gollu Dag,Turkey,38.25,34.57,2143,Lava dome,Holocene,U
0900-01=,Golovnin,Kuril Is,43.85,145.53,541,Caldera,Historical,D3
0503-041,Goodenough,DEntrecasteaux Is,-9.48,150.35,220,Volcanic field,Holocene,U
1105-021,Gordon,Alaska-E,62.13,-143.08,2755,Cinder cone,Holocene,U
1000-07=,Gorely,Kamchatka,52.558,158.03,1829,Caldera,Historical,D1
0900-17=,Goriaschaia Sopka,Kuril Is,46.83,151.75,891,Stratovolcano,Historical,D2
1000-53-,Gorny Institute,Kamchatka,57.33,160.2,2125,Stratovolcano,Holocene,U
1802-04=,Graciosa,Azores,39.02,-27.97,402,Stratovolcano,Holocene,U
1803-04-,Gran Canaria,Canary Is,28,-15.58,1950,Fissure vent,Radiocarbon,D7
1101-12-,Great Sitkin,Aleutian Is,52.08,-176.13,1740,Stratovolcano,Historical,D1
1102-19-,Griggs,Alaska Peninsula,58.35,-155.1,2317,Stratovolcano,Holocene,U
0303-001,"Grille, La",Indian O-W,-11.47,43.33,1087,Shield volcano,Holocene,U
1701-06=,Grimsnes,Iceland-SW,64.03,-20.87,214,Crater rows,Tephrochronology,D7
1703-01=,Grimsvotn,Iceland-NE,64.42,-17.33,1725,Caldera,Historical,D1
0201-116,Groppo,Ethiopia,11.73,40.25,930,Stratovolcano,Holocene,U
0900-07=,Grozny Group,Kuril Is,45.02,147.87,1211,Complex volcano,Historical,D1
1401-006,Guadalupe,Mexico,29.07,-118.28,1100,Shield volcano,Holocene,U
1502-02=,Guagua Pichincha,Ecuador,-0.171,-78.598,4784,Stratovolcano,Historical,D1
1505-02=,Guallatiri,Chile-N,-18.42,-69.17,6071,Stratovolcano,Historical,D2
1505-093,Guayaques,Chile-N,-22.88,-67.58,5598,Lava dome,Holocene,U
1403-052,Guazapa,El Salvador,13.9,-89.12,1438,Stratovolcano,Holocene,U
0201-124,Gufa,Ethiopia,12.55,42.53,600,Volcanic field,Holocene,U
0804-19=,Guguan,Mariana Is-C Pacific,17.32,145.85,287,Stratovolcano,Historical,D3
